,level_0,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,19_00_voosh,distance_in_meters_from_voosh
174,981,981,Kashi Vishwanath Paan Shop,12.9138685,77.66669540000002,Apartment,"Ambalipura, Bengaluru",6.3730835285684835,1.5726917038137636,6,386
175,982,982,HP Petrol Pump RKR FUEL STATION,12.914585,77.666833,Apartment,"Ambalipura, Bengaluru",6.385454777200338,1.5748660016828,6,372
176,983,983,KINGSCOURT India Pvt Ltd,12.9193928,77.6697408,Apartment,"Ambalipura, Bengaluru",6.708814383151876,1.5155630974566474,8,477
177,985,985,IdeaNet Solutions Inc,12.9190685,77.6688003,Apartment,"Ambalipura, Bengaluru",6.605112252929887,1.578327539805507,7,447
178,987,987,VVS and Associates,12.913667,77.6705997,Apartment,"Ambalipura, Bengaluru",6.796791331310054,1.1540690850006985,8,468
179,988,988,bookmyshop,12.914114,77.6706589,Apartment,"Ambalipura, Bengaluru",6.801446015677103,1.1604693022691777,7,428
180,989,989,eMedicalMinds,12.9168674,77.66862990000001,Apartment,"Ambalipura, Bengaluru",6.578747410265445,1.4746263000991315,5,323
181,990,990,New Mathaji Hardware,12.9200368,77.66690720000003,Apartment,"Ambalipura, Bengaluru",6.406756144209443,1.8090281660049554,7,419
182,991,991,Vismetha tailors,12.91477,77.6670116,Apartment,"Ambalipura, Bengaluru",6.4043147500876,1.5610878889067314,6,368
183,992,992,Plus Point Hypermarket,12.916262199999998,77.6679187,Apartment,"Ambalipura, Bengaluru",6.501083736016564,1.5188420184564726,6,337
184,993,993,MeritIndia Corporate Services Pvt Ltd,12.9170738,77.6722152,Apartment,"Ambalipura, Bengaluru",6.967628318752981,1.1474035869512587,4,245
185,994,994,Anu Beauty Parlour Shop,12.919764,77.6675463,Apartment,"Ambalipura, Bengaluru",6.4738528379899565,1.7343902145615175,7,435
186,996,996,Fitness Life Gym,12.9197069,77.66771290000001,Apartment,"Ambalipura, Bengaluru",6.491471717301022,1.715801120676722,7,435
187,997,997,100Krafts - Interior Designer in Bangalore,12.9218522,77.6720087,Apartment,"Ambalipura, Bengaluru",6.9741991051309595,1.5263651029319,9,546
188,998,998,DHL Express (India) Pvt. Ltd,12.919717,77.6674745,Apartment,"Ambalipura, Bengaluru",6.46575548383286,1.7380798948035905,7,425
189,999,999,BasicLife! By Back2Basics,12.9182899,77.66949579999998,Apartment,"Ambalipura, Bengaluru",6.676608081634485,1.468051611082637,5,296
