Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_centroid,19_00_centroid,distance_in_meters_from_centroid
Punnen Residency,13.0220817,77.6460651,Apartment,"Kalyan Nagar, Bengaluru",0.8209804618925669,0.822509766014841,5,6,343
Gayathri building,13.0279609,77.6460198,Apartment,"Kalyan Nagar, Bengaluru",0.7418635628154029,1.4071437217449643,8,8,490
Shri SAI SANKALP,13.0171803,77.6468205,Apartment,"Kalyan Nagar, Bengaluru",1.2438585064550576,0.418197326017045,7,8,502
Daffodils Apartments,13.029678,77.6377362,Apartment,"Kalyan Nagar, Bengaluru",0.47065285738378226,2.049362357785343,5,6,349
Sri Lakshmi nilaya,13.0280127,77.6405828,Apartment,"Kalyan Nagar, Bengaluru",0.2686454524889391,1.7075806692289561,5,5,302
CP Residency,13.0184507,77.6494612,Apartment,"Kalyan Nagar, Bengaluru",1.3524710571414134,0.2864299194811057,7,8,508
Vindya Bharthesh,13.0235783,77.6409155,Apartment,"Kalyan Nagar, Bengaluru",0.2912155344250008,1.3323232643277634,3,4,224
Regency Magnum,13.0298596,77.6353197,Apartment,"Kalyan Nagar, Bengaluru",0.6400398347481242,2.2482564121676814,3,4,256
Sree properties,13.0221617,77.6357139,Apartment,"Kalyan Nagar, Bengaluru",0.5805052518123864,1.7398506512001641,3,4,235
MNM Builders,13.016093,77.643219,Apartment,"Kalyan Nagar, Bengaluru",1.153399533292931,0.7903485199046654,6,7,417
J R Arcade,13.0288334,77.6407989,Apartment,"Kalyan Nagar, Bengaluru",0.36165044278964487,1.7653154045746537,5,6,333
Dharma Symphony,13.0206428,77.6443655,Apartment,"Kalyan Nagar, Bengaluru",0.7785003365478147,0.8368136294864281,5,6,357
Rasiga House,13.0286706,77.6443841,Apartment,"Kalyan Nagar, Bengaluru",0.6135317239778492,1.5487461406223246,6,7,425
Unishire,13.0236199,77.6462081,Apartment,"Kalyan Nagar, Bengaluru",0.7635940254713457,0.9586821503155336,5,6,332
Vikash Homes,13.0233787,77.6499898,Apartment,"Kalyan Nagar, Bengaluru",1.1650547405159375,0.8126892553899424,6,7,424
Keerti Apartments,13.0258402,77.642583,Apartment,"Kalyan Nagar, Bengaluru",0.33047082266599376,1.3835548792972288,5,5,326
Anugraha Lotus,13.0196981,77.6310082,Apartment,"Kalyan Nagar, Bengaluru",1.1475351214057674,2.15101941777157,4,4,269
MIMS NORTH WEST,13.019391,77.6426472,Apartment,"Kalyan Nagar, Bengaluru",0.7909171797800019,0.9280623495511281,5,6,363
Dr. Akheel Ahmed House,13.0236646,77.6410371,Apartment,"Kalyan Nagar, Bengaluru",0.29021834541056213,1.3281330068621273,4,4,232
A.H.Riviera,13.0211856,77.6441855,Apartment,"Kalyan Nagar, Bengaluru",0.7211924363712624,0.8896058218957305,5,6,373
Colarado Apartments,13.0314238,77.6365779,Apartment,"Kalyan Nagar, Bengaluru",0.7001148945806899,2.277591272150413,3,4,249
Millennia Mount Galilee,13.0343907,77.6392895,Apartment,"Kalyan Nagar, Bengaluru",0.9529287451741876,2.370793741566267,4,5,317
Midas Residency,13.0181899,77.6447613,Apartment,"Kalyan Nagar, Bengaluru",1.020529162146072,0.6656413805888182,6,7,417
V. V. Ivory Apartment,13.0254202,77.6535371,Apartment,"Kalyan Nagar, Bengaluru",1.517831855771473,1.0881555858862628,8,9,558
Jaya Apartment HR,13.0297083,77.6384617,Apartment,"Kalyan Nagar, Bengaluru",0.4472137857192113,1.999663065165599,5,6,356
Uma Residency,13.0252825,77.6441446,Apartment,"Kalyan Nagar, Bengaluru",0.5032569280600384,1.2334787271847925,4,5,313
Bhanu Paradise Block 2,13.0287084,77.640397,Apartment,"Kalyan Nagar, Bengaluru",0.3341135779813883,1.7806412081572287,5,5,320
Near Mylaria Apartment,13.0269142,77.6483429,Apartment,"Kalyan Nagar, Bengaluru",0.9621224388169721,1.226598011778996,7,7,445
Preethi Villa,13.0202517,77.6418049,Apartment,"Kalyan Nagar, Bengaluru",0.6667335135226702,1.0510155985002239,5,7,390
Divine Grace Service Apartments,13.027781,77.637662,Apartment,"Kalyan Nagar, Bengaluru",0.29734474495859214,1.9050457591769658,3,4,231
Ayesha Di,13.0230045,77.6434205,Apartment,"Kalyan Nagar, Bengaluru",0.5250765515234508,1.087247011664523,4,5,274
Prestige North Point,13.0233789,77.6374308,Apartment,"Kalyan Nagar, Bengaluru",0.35464055674275186,1.6328882675866576,2,2,119
Diamond Enclave,13.0292879,77.6383544,Apartment,"Kalyan Nagar, Bengaluru",0.4057555214714094,1.9722410759024258,4,5,285
Yash Residency Apartments,13.026476,77.6479867,Apartment,"Kalyan Nagar, Bengaluru",0.918732729350995,1.1871165730435695,6,7,445
Ishwerya Enclave,13.0211674,77.6401172,Apartment,"Kalyan Nagar, Bengaluru",0.5216602904845359,1.260058861366476,4,5,279
Residence Of Cars,13.017216,77.645799,Apartment,"Kalyan Nagar, Bengaluru",1.1734844222590206,0.5260106131328413,7,8,460
